attempt_id,job_id,run_id,started_at,ended_at,ats,apply_url,gate,weight,outcome,banner_text,tracker_status,email_evidence,application_id,resume_version,answers_used,screens_dir,agent_url,notes
A20260824-001,J20260903-001,backfill-2026-08-24,2026-08-24T14:24:00,2026-08-24T14:24:00,ashby,https://jobs.ashbyhq.com/chartahealth/3088555d-de93-4236-add1-41005bf0933b,G1,prioritized,submit_failed,We couldn't submit your application. Your application submission was flagged as possible spam.,,,,unknown,,"cursor.com artifacts on the run, not in git",,"Round-two parent Chrome session, many tabs open, retries implied, long Why-us. docs/experiments/2026-08-23_ten_tab_round_two.md, docs/apply/OBSTACLES.md"
A20260824-002,J20260903-001,backfill-2026-08-24,2026-08-24T14:40:00,2026-08-24T14:40:00,ashby,https://jobs.ashbyhq.com/chartahealth/3088555d-de93-4236-add1-41005bf0933b,G1,prioritized,submitted_unverified,,Simplify tracker APPLIED 2026-08-24 for Charta in data/imports/simplify/2026-09-03_simplify_download.csv; no banner captured,,,unknown,,"cursor.com artifacts on the run, not in git",,"Junyi submitted from his own laptop per activity_log 2026-08-24T14:40. No banner or email archived. Tracker confirms an application on 08-24; banner text still unknown, so the attempt stays unverified."
A20260824-003,J20260824-001,backfill-2026-08-24,2026-08-24T14:44:00,2026-08-24T14:44:00,ashby,https://jobs.ashbyhq.com/anyscale/73a973b1-6377-4144-a6e5-610b78719882,G2,regular,not_run,,,,,unknown,,"cursor.com artifacts on the run, not in git",https://cursor.com/agents/bc-7f8a7941-3040-5925-84d7-72f1c19c24a7,Nested Task environment=cloud child had the harness but no computerUse tool.
A20260824-004,J20260824-001,backfill-2026-08-24,2026-08-24T14:58:00,2026-08-24T14:58:00,ashby,https://jobs.ashbyhq.com/anyscale/73a973b1-6377-4144-a6e5-610b78719882,G2,regular,submitted_verified,Success. Your application was successfully submitted. We'll contact you if there are next steps.,Simplify tracker APPLIED 2026-08-24 for this URL in data/imports/simplify/2026-09-03_simplify_download.csv; overlay text per the experiment doc,,,Junyi_Zhou_resume.pdf (Copilot profile; cluster unknown),,"cursor.com artifacts on the run, not in git",https://cursor.com/agents/bc-b6ea9703-f8db-491d-98ab-52b490155db1,"Dashboard Cloud Agent, one tab, Autofill once, Submit once. Practice lane path test."
A20260824-005,J20260824-002,backfill-2026-08-24,2026-08-24T15:12:00,2026-08-24T15:21:00,ashby,https://jobs.ashbyhq.com/meshy/c2f596a3-378c-4a57-b2cd-0bccd88866d7,G2,regular,submitted_verified,Success. Your application was successfully submitted. We'll contact you if there are next steps.,Simplify tracker APPLIED 2026-08-24 for this URL in data/imports/simplify/2026-09-03_simplify_download.csv; overlay text per the experiment doc,,,Junyi_Zhou_resume.pdf (Copilot profile; cluster unknown),,"cursor.com artifacts on the run, not in git",https://cursor.com/agents/bc-b6ea9703-f8db-491d-98ab-52b490155db1,"One tab, Autofill once, Submit once. Practice lane path test."
A20260824-006,J20260824-003,backfill-2026-08-24,2026-08-24T15:12:00,2026-08-24T15:21:00,ashby,https://jobs.ashbyhq.com/midjourney/68e8eed8-ba7e-4530-bee1-4baf3d368d55,G2,regular,submitted_verified,Success. Your application was successfully submitted. We'll contact you if there are next steps.,Simplify tracker APPLIED 2026-08-24 for this URL in data/imports/simplify/2026-09-03_simplify_download.csv; overlay text per the experiment doc,,,Junyi_Zhou_resume.pdf (Copilot profile; cluster unknown),,"cursor.com artifacts on the run, not in git",https://cursor.com/agents/bc-b6ea9703-f8db-491d-98ab-52b490155db1,"One tab, Autofill once, Submit once. Practice lane path test."
A20260824-007,J20260824-004,backfill-2026-08-24,2026-08-24T15:12:00,2026-08-24T15:32:00,ashby,https://jobs.ashbyhq.com/runway/82789f66-9216-4ef3-bfeb-6cef4b416e63,G2,regular,submitted_verified,Success. Your application was successfully submitted. We'll contact you if there are next steps.,Simplify tracker APPLIED 2026-08-24 for this URL in data/imports/simplify/2026-09-03_simplify_download.csv; overlay text per the experiment doc,,,Junyi_Zhou_resume.pdf (Copilot profile; cluster unknown),,"cursor.com artifacts on the run, not in git",https://cursor.com/agents/bc-b6ea9703-f8db-491d-98ab-52b490155db1,"One tab, Autofill once, Submit once. Practice lane path test. Employer cfo.ai on the runway board slug."
A20260903-001,J20260903-032,2026-09-03T13,2026-09-03T13:56:53,2026-09-03T14:24:31,greenhouse,https://job-boards.greenhouse.io/twitch/jobs/8459320002,G1,prioritized,review_packet,,,,,Junyi_Zhou_resume.pdf (Copilot profile; v1.3 PDF not compiled on this VM),,generated/apply_runs/2026-09-03T13/twitch,https://cursor.com/agents/bc-7c557569-6594-4771-875b-df1cdd5e5afa,"G1 fill done, Submit not clicked. Blockers for Junyi: citizenship widget shows United States (wrong for F-1); broad immigration sponsorship set No by Copilot (pending owner decision); eligible-immediately Yes vs earliest start 2027-01-18; Copilot filled gender, race, Hispanic, veteran EEO; Harvard discipline Other and end March 2027 vs standing rules; 5 required widgets blank (Twitch familiarity, prior Amazon application, non-compete, permanent residence, export-control country, future opportunities)."
A20260903-002,J20260903-032,2026-09-03T14,2026-09-03T15:34:30,2026-09-03T15:34:31,greenhouse,https://job-boards.greenhouse.io/twitch/jobs/8459320002,G1,prioritized,review_packet,,,,,Junyi_Zhou_resume.pdf (Copilot profile),"sponsorship No; citizenship China; PR elsewhere No; export-control China; eligible immediately Yes; prior Amazon application No; non-compete No; future opportunities Yes; EEO preserved (Male, Not Hispanic, Asian, not a veteran, no disability); base pay 110500; relocation Seattle",generated/apply_runs/2026-09-03T14/twitch,https://cursor.com/agents/bc-7c557569-6594-4771-875b-df1cdd5e5afa,Correction pass after Junyi's written answers. All required widgets set except Twitch familiarity (only Junyi knows). Harvard discipline shows Other and end date March 2027 because the Greenhouse education widget reverted the edit; both dates are real. Submit not clicked.
A20260903-003,J20260903-033,2026-09-03T15,2026-09-03T15:56:16,,ashby,https://jobs.ashbyhq.com/anyscale/01aef589-e268-4b22-b513-d1f9f076210f/application,G1,regular,in_progress,,,,,Junyi_Zhou_resume.pdf (Copilot profile; cluster unknown),hybrid Yes; relocate Yes; sponsorship No; current company cleared,generated/apply_runs/2026-09-03T15,https://cursor.com/agents/bc-7c557569-6594-4771-875b-df1cdd5e5afa,G1 fill+corrections done. Submit not clicked. G2 closed. Identity Junyi Zhou. CU identity 3.4min/23 tools; corrections 5.7min/74 tools.
