ts	phase	decision	why	evidence	result
2026-09-10T02:40:00Z	frame	GitHub is the only canonical behavioral memory. PREFERENCES stays a thin local inbox. Copilot is an apply precondition.	Owner named the shape from a real Polar Local run. Adding a second nightly preferences pipeline would duplicate production-learning-daily.	user brief 2026-09-10	framed
2026-09-10T02:42:00Z	inspect	#116 already merged on origin/main. Keep this work on its own branch.	Stacking Copilot and memory ownership onto the auth PR would mix two concerns.	git fetch origin main; 64c558f	follow-up branch
2026-09-10T02:45:00Z	architect	architect skipped. Arena skipped.	Owner already chose GitHub-canonical memory, reuse of production-learning-daily, and control-tab env state. Remaining work is encoding, not a design bakeoff.	user brief preferred design	skipped
2026-09-10T02:50:00Z	design	Model Copilot as env_simplify_copilot on the existing control tab. States PRESENT MISSING UNKNOWN.	A new database or queue BLOCKED status would consume valid jobs and add a store.	scripts/polar_policy.py ENV_SIMPLIFY_KEY	encoded
2026-09-10T02:52:00Z	design	Missing Copilot restores READY and releases polar_browser. Result OWNER_ACTION_REQUIRED.	The job is still valid. The browser environment is not. Holding the lease waits on a human.	restore_queue_after_copilot_miss	encoded
2026-09-10T02:53:00Z	design	simplify.jobs login is never Copilot proof.	Owner watched a healthy Simplify website session without the extension on the ATS page.	simplify_jobs_session_is_copilot_proof	always false
2026-09-10T02:55:00Z	design	Classify PREFERENCES by ownership class. Export omit or count_only or sanitized. Compact to four sections.	Raw export would leak private facts. A second strategy copy would drift from GitHub.	classify_preference_entry render_preferences_delta compact_preferences_markdown	encoded
2026-09-10T02:56:00Z	design	Put Preferences Delta inside production-learning-daily. Cursor classifies promotion in the existing maintenance workflow.	A preferences-learning-daily workflow would be a second canonical path.	scripts/polar_workflows.py render_learning	no second pipeline
2026-09-10T02:58:00Z	policy	Do not change sponsorship form answers in this PR.	#116 already set required future-sponsorship to Yes. Polar chat Yes is GitHub's job now.	knowledge/work_authorization.yaml on main	left alone
2026-09-10T03:00:00Z	verify	Focused Polar suites then full unittest discover.	Need a real run, not a self-report.	python3 -m unittest discover -s tests	271 OK
2026-09-10T03:02:00Z	review	Keep classify heuristics in polar_policy. Do not add a preferences-learning-daily file.	Laziness and Subtract. Polar can read and rewrite /home/polar/PREFERENCES.md. GitHub cannot.	LOCAL_PREFERENCES_PATH	local rewrite only
2026-09-10T03:20:00Z	review	Stop treating no longer as STALE. Keep LEARNING_CANDIDATE until Cursor names a drop. GitHub still wins for behavior.	Trail review caught auto-delete and mixed-entry override risk.	classify_preference_entry winning_memory_source	tightened
2026-09-10T03:50:00Z	design	Split PREFERENCES into export then reconcile. Resolution lives in knowledge/preference_resolutions.yaml on main.	Export cannot know Cursor and merge outcomes. Open PR is not canonical. Match candidate_id only.	assign_preference_ids reconcile_preference_candidates	encoded
