resume_version,parent_version,cluster,created_date,change_summary,hypothesis,target_roles,active,applications_count,oa_count,screen_count,technical_count,offer_count,notes,file_path
2026-07-20_cloud-swe_v1.1,JZ_resume,cloud_swe,2026-07-20,Base bullets preserved; reorder Chatbot→Transformer→AlphaFold→Wyss; Cloud/Tools skills up,Systems-first order improves SWE/platform OA without diluting specificity,"SWE, backend, platform, cloud, infra",false,1,0,0,0,0,,
2026-07-23_google-swe-intern_v1.0,2026-07-20_cloud-swe_v1.1,cloud_swe,2026-07-23,One-page Google SWE intern tailor; reduced tool breadth; engineering-focused bullets; direct project links; explicit expected graduation date,Clearer software-development evidence aligned to the Google SWE/SRE intern posting improves screening while preserving verified technical depth,"Google Software Engineering Intern MS Summer 2027, Google Site Reliability Intern",false,1,0,0,0,0,Posting 95141459539174086,
2026-07-23_google-swe-intern_v1.1,2026-07-23_google-swe-intern_v1.0,cloud_swe,2026-07-23,SWE-first repositioning; Airway architecture/auth/deployment expanded; research reframed as algorithms and systems; Cursor kept secondary,Software ownership and CS fundamentals should produce a stronger standard SWE screen than research-domain framing,"Google Software Engineering Intern MS Summer 2027, Google Site Reliability Intern",false,0,0,0,0,0,"Posting 95141459539174086; no unsupported testing, scale, or performance claims",
2026-07-20_data-ml_v1.1,JZ_resume,data_ml,2026-07-20,Base bullets preserved; reorder Chatbot→Transformer→Wyss→AlphaFold,LLM/agent + foundations first improves applied AI / MLE response rate,"MLE, applied AI, data science/engineering, RAG roles",false,0,0,0,0,0,,
2026-07-20_health-ai_v1.1,JZ_resume,health_ai,2026-07-20,Base bullets preserved; domain-forward order,Clinical/bio framing helps when company is health/life-science,"healthcare AI, clinical data, digital health",false,0,0,0,0,0,,
JZ_resume,,base,2026-07-20,Master evidence resume,Quality baseline. Only active resume,source of truth,true,0,0,0,0,0,,resumes/base/JZ_resume.tex
2026-08-24_health-ai_v1.3,JZ_resume,health_ai,2026-08-24,Lead with S-Seg-RLVR capstone; keep airway pneumonia Wyss; no invented RL metrics,A current-research RL/pathology line improves health-AI screens if interviewers accept bootstrap status,"healthcare AI, clinical ML, digital health",false,0,0,0,0,0,No Dice/PQ/GRPO-run claims; LinkedIn draft is paste-only,
2026-08-24_data-ml_v1.3,JZ_resume,data_ml,2026-08-24,Regenerated from base v1.3; S-Seg-RLVR stays off this one-pager,Keep data/ML one-pager on trained projects until a GRPO run exists,"MLE, applied AI, data science",false,0,0,0,0,0,,
2026-08-24_cloud-swe_v1.3,JZ_resume,cloud_swe,2026-08-24,Regenerated from base v1.3; S-Seg-RLVR stays off this one-pager,SWE cluster should not lead with an untrained research method,"SWE, backend, platform",false,0,0,0,0,0,,
ai_infra_v1,JZ_resume,ai_infra,2026-09-10,First Resume Stack BUILD one-pager for AI infrastructure and agent systems,A skill-selected truthful page beats the 2026-08-24 cloud-swe cluster on clarity without inventing facts,"AI infrastructure, agent systems, ML systems",false,0,0,0,0,0,Cleanup pass dropped mixhvg and recruiter-facing disclaimers. Not Polar's apply resume. Perfect Resume is the only production attach.,resumes/families/ai_infra/ai_infra_v1.tex
perfect_resume,JZ_resume,perfect,2026-09-14,Junyi-supervised gold copy for Polar ingest (JZ_Resume_911.pdf bytes),One stored Perfect Resume stops Polar from guessing family files when a native widget needs a file,"all Polar ingest",false,0,0,0,0,0,"Junyi 2026-09-14. Superseded 2026-09-15 by perfect_resume_2027. On-disk perfect_resume.pdf is now the same bytes as JZ_Resume_2027.pdf so Polar compiled paths still resolve.",resumes/Perfect Resume/perfect_resume.pdf
perfect_resume_2027,perfect_resume,perfect,2026-09-15,Owner-supplied Perfect Resume file JZ_Resume_2027.pdf,Owner filename replaces the 2026-09-14 JZ_Resume_911.pdf gold-copy bytes. Polar/Simplify stored name stays Perfect Resume.,"all Polar ingest",false,0,0,0,0,0,"Junyi supplied JZ_Resume_2027.pdf. Do not invent skills from this PDF. Polar compiled output still names perfect_resume.pdf / 911 until the sponsorship Polar recompile. Superseded 2026-09-17 by perfect_resume_2027_r2 (same path, new bytes; old SHA256 2ac07914...4238e).",resumes/Perfect Resume/JZ_Resume_2027.pdf
perfect_resume_2027_r2,perfect_resume_2027,perfect,2026-09-17,Owner-uploaded replacement bytes for JZ_Resume_2027.pdf (upload name JZ_Resume_662b.pdf; one page; 169078 bytes),unknown (owner-supplied replacement; no hypothesis stated),"all Polar ingest",false,0,0,0,0,0,"Junyi uploaded 2026-09-17. SHA256 9819aa26...6b46fe pinned as gold_sha256 in knowledge/polar_resume_attach.yaml. perfect_resume.pdf alias is the same bytes. Content changes not catalogued here; do not invent skills from this PDF. Not the two-page master.",resumes/Perfect Resume/JZ_Resume_2027.pdf
