ts	phase	decision	why	evidence	result
2026-09-03T03:33:16Z	frame	took over the repo; routed the whole program through figure-it-out, archaeology first	brief says reconstruct reality before any redesign; the work is cross-cutting and reviewed after the fact	git for-each-ref origin (101 branches), gh pr list (98 PRs)	open
2026-09-03T03:33:16Z	archaeology	found main frozen at 2026-08-23 (#60) while two unmerged stacks and 28 discovery PRs continued to 2026-09-02	merge-base containment check; all Ashby submit evidence lives only on unmerged branches	origin/cursor/computer-use-context-isolation-5db1 (31 ahead), origin/cursor/ashby-page-session-restore-3b07 (17 ahead)	verified
2026-09-03T03:33:16Z	archaeology	fanned out 4 read-only archaeology subagents writing to /tmp/archaeology	guard the context window; the stacks total ~5000 added lines	/tmp/archaeology/01..04	open
2026-09-03T03:33:16Z	runtime	apply harness check exits 0 on this VM (branded Chrome, Copilot, Simplify cookie); Outlook MCP needsAuth	needed to know whether a live apply experiment is possible from this run	scripts/automation/check_apply_harness.py output in transcript	verified
2026-09-03T03:38:25Z	runtime	browser probe: Simplify logged in as Junyi (hsph), Copilot enabled, tracker shows 40 jobs / 15 applied incl. 5 applied 2026-08-25 that no repo branch records	the repo ledger is behind Simplify; the two memories have drifted since 08-24	/opt/cursor/artifacts/probe/simplify_tracker.png	verified
2026-09-03T03:48:31Z	archaeology	Grok bot stack judged docs-only; keep the interaction-style evidence and the rules-in-git leftover loop, drop the Grok org wrapper and the org designer tangent	no ledger row, screenshot, or log shows a Grok bot ran; the one recorded event was a report-and-stop failure	/tmp/archaeology/03_grok_bot_stack.md	verified
2026-09-03T03:48:47Z	archaeology	discovery automation judged healthy at the scrape/triage layer, broken at the hand-off: 19 open PRs unmerged since 08-23, same-day filename collisions, careers_boards re-added each run, no cross-run memory, no absolute posting date	68 runs in 39 days with no day missed; merge-tree on 4 PR pairs shows the conflicts	/tmp/archaeology/04_discovery_automation.md, /tmp/archaeology/analyze_discovery.py	verified
2026-09-03T03:49:59Z	archaeology	main inventory: application state has three writers and two homes; enums defined four ways; resume registry points at deleted files; only 4 knowledge files are read by code; discovery keeps have no consumer	these are the friction boundaries the redesign must fix before autonomy is added	/tmp/archaeology/01_main_inventory.md, /tmp/archaeology/inventory.py	verified
2026-09-03T03:59:12Z	consolidate	merged Stack A, the clicker-cuts, aug25 form answers, pathology evidence, and verifier branches onto one branch; resolved two YAML conflicts by keeping both sides	main was 11 days behind the only Ashby submit evidence; the merges are additive knowledge and history	git log origin/main..HEAD on cursor/reality-map-and-consolidation-5afa	tests 55 green, validate_data 7 pre-existing errors
2026-09-03T03:59:12Z	consolidate	wrote docs/policy/SUBMIT_ROLLOUT.md as the one Submit policy and pointed AGENTS.md, rules, form_strategy, PRIORITY, application_priority at it; prioritized now means review packet, regular means autonomous once the gate opens	owner brief supersedes the blanket ban and reverses the stack's prioritized-public-Submit rule; encode once instead of in six files	docs/policy/SUBMIT_ROLLOUT.md	open owner decision on the broad sponsorship answer
2026-09-03T03:59:12Z	consolidate	four ledger corrections: Charta row J20260903-001 with confirmation unknown, Anyscale future_sponsorship_answer no, cfo.ai correction log row, Charta resume_version unknown	archaeology found the only wanted application had no row and the log named the wrong employer	data/applications.csv, data/activity_log.csv	validate_data errors unchanged at 7
2026-09-03T04:03:07Z	state-model	kept applications.csv as current state and added data/apply_attempts.csv as the append-only attempt table with precheck/start/finish; skipped an architect arena because the shape is an additive table on an existing ledger	the brief needs attempted actions, verification evidence, failure reason, and rerun idempotency; two status enums would be two truths	scripts/apply_ledger.py, tests/test_apply_ledger.py (6 tests)	61 tests green; 7 backfilled attempts all precheck as duplicates
2026-09-03T04:09:07Z	g2-screen	screened 12 discovery runs for Ashby keeps; no qualifying G2 row; four negative gates fired on real data (closed, repo duplicate, Simplify duplicate pending export, broad sponsorship)	the brief asks for negative cases and a wanted-role Submit; the candidate pool did not contain one that passes the gate	docs/experiments/2026-09-03_g2_candidate_screen.md, scripts/ashby_form.py	verified negative cases; G2 positive case still open
