ts	phase	decision	why	evidence	result
2026-09-08T02:23:06Z	frame	Polar Local is the production operator. Cloud discovery stays shadow.	Owner decision 2026-09-08 replaced the Live Slot pilot. Arena skipped because the shape was already concrete.	docs/automation/POLAR.md	framed
2026-09-08T02:23:06Z	lineage	Branch from PR 109 HEAD. Do not merge 107 or 108 separately.	109 already reconciled Quantbot Rakuten Solidigm Citadel P1. Duplicate Quantbot ids are the failure.	origin/cursor/polar-ats-sweep-5afa b13a139	verified merge-tree clean, 16 ahead of main
2026-09-08T02:23:06Z	harness	Compiler writes one POLAR_RUNTIME. Tests refuse secrets and identity drift.	Polar must not reread ten YAML files. The lever is the compiler.	scripts/build_polar_runtime.py tests/test_polar_runtime.py	10 runtime tests plus 34 Polar lineage tests green
2026-09-08T02:23:06Z	design	Sheet is runtime. GitHub is memory. ATS family is metadata only.	Owner forbade a database and a second ledger. Recovery must survive a locked Mac.	docs/automation/POLAR_QUEUE.md knowledge/polar_operator.yaml	schema written
2026-09-08T02:23:06Z	policy	Split cursor_cloud ATS gates from polar_local capability gates.	Cloud evidence stays. Polar Submit is not ATS-centric.	docs/policy/SUBMIT_ROLLOUT.md config/submit_gates.yaml	caps 3 per run and 10 per local day
2026-09-08T02:25:40Z	shadow	Wrote POLAR_SHADOW.md as the 48-hour comparison checklist.	Retiring Cloud from preference would repeat the Live Slot mistake. The checklist names falsifiable counts.	docs/automation/POLAR_SHADOW.md	open until Polar hourly actually runs
2026-09-08T02:26:27Z	verify	Runtime suite is 11 tests. Full Polar plus ledger run is 45 and OK.	The earlier harness row said 10 runtime tests before the Workflow prompt test landed.	tests/test_polar_runtime.py /opt/cursor/artifacts/polar_local_unittest.log	45 tests OK
2026-09-08T02:28:06Z	review	Nested Cloud gates under cursor_cloud and deleted narrating comments.	Comment Sicko caught a fake cursor_cloud.gates path while apply_ledger still read root gates.	config/submit_gates.yaml scripts/apply_ledger.py	23 tests OK
2026-09-08T02:36:23Z	frame	Owner brief plus a high-level Grainger SuccessFactors success, not the essay, is why Live Slot is retired.	The first frame row cited POLAR.md, which is the write-up, not the observation.	user brief 2026-09-08; docs/automation/POLAR.md proven table Grainger row	supersedes the first frame why
2026-09-08T02:36:23Z	frame	Arena stayed skipped. The owner named the planes, states, caps, and workflows.	Live Slot remains in POLAR_SCALE.md as pilot history. A bakeoff would redo a closed owner call.	docs/automation/POLAR_SCALE.md; user brief WHAT TO BUILD	skip stands
2026-09-08T02:36:23Z	verify	test_polar_runtime.py had 11 methods in 6ccf42a. The 10-then-later-workflow story was wrong.	The verify row misdiagnosed its own count. Workflow prompt coverage was in the first compiler commit.	git show 6ccf42a:tests/test_polar_runtime.py	11 from first commit
2026-09-08T02:36:23Z	verify	Full suite is 168 tests. The 45-test run was Polar lineage plus apply-ledger plus runtime only.	A trail review reported one intermittent full-suite fail. Five reruns here were 168 OK.	python3 -m unittest discover -s tests	168 OK x5 this session; flake not reproduced
2026-09-08T02:36:23Z	policy	New prioritized signals came from owner Phase 6, not from a new census.	fortune_500_or_major, biotech_health_ai, biostat_data_science_bio, and personal_fit. Generic data titles stay regular.	user brief PHASE 6; knowledge/application_priority.yaml	labels still suggestions
2026-09-08T02:36:23Z	policy	AGENTS.md, BOUNDARIES.md, platforms.md, and DAILY_JOB_DISCOVERY.md changed because Polar now discovers locally.	Those files restated Polar must not discover. Leaving them would fight POLAR.md.	commit b5b44b9	pointer files match the owner decision
2026-09-08T02:36:23Z	policy	polar_local Submit caps are owner canary, not a Cloud G2 open.	Overnight Submit still waits on the locked-screen heartbeat. Discovery shadow is a separate 48-hour clock.	knowledge/polar_operator.yaml canary; docs/automation/POLAR_WORKFLOWS.md heartbeat	open until heartbeat exists
