ts	phase	decision	why	evidence	result
2026-09-08T23:45:00Z	frame	Close the Polar learning loop on the existing GitHub / Sheet / Polar Local / Cursor planes.	Owner named the architecture and the production lessons. Arena skipped because the shape was already concrete.	user brief 2026-09-08	framed
2026-09-08T23:50:00Z	inspect	Transcript PDFs exist at repo root. Paths registered. PDF contents were not extracted.	Owner said verify files before wiring a registry. Do not open the PDFs.	Emory_Official_Transcript.pdf Harvard_unofficial_transcript.pdf	files_present
2026-09-08T23:55:00Z	harness	Put lease, named Sheet writes, scheduling, requisition identity, and sanitizer in polar_policy.py.	A second copy of those rules in prose only would repeat the column-shift failure.	scripts/polar_policy.py tests/test_polar_policy.py	23 tests OK
2026-09-08T23:58:00Z	design	Lease TTL is 180 minutes from owner-reported 105 minute applies plus a crash buffer.	A 60 minute lock would expire during a real apply and let discover steal the browser.	knowledge/polar_operator.yaml lease.ttl_minutes	encoded
2026-09-08T23:59:00Z	design	Append employer_requisition_id and ats_job_id at the end of queue.	Inserting a middle column would replay the production shift bug on the live Sheet.	generated/polar/queue_schema.csv	schema written
2026-09-08T23:56:00Z	compiler	One compiler writes POLAR_RUNTIME, workflow files, and header CSVs.	Polar must open a stable main URL. Junyi must not paste a new 3000 word prompt after every patch.	scripts/build_polar_runtime.py scripts/polar_workflows.py	compiled
2026-09-08T23:57:00Z	policy	Polar Local prioritized rows may Submit. Cursor Cloud stays review-first.	Owner brief 2026-09-08: prioritized applications MAY now be submitted automatically, with deeper writing, mandatory writing_log, and post-submit digest oversight.	user brief 2026-09-08	prioritized_auto_submit true
2026-09-08T23:58:00Z	policy	Reserve one READY_PRIORITY slot per apply-ready-jobs run.	Regular backlog was starving priority. Caps stay 3 per run and 10 regular per day.	scripts/polar_policy.py select_apply_batch	tests green
2026-09-08T23:59:00Z	verify	Polar suites plus full unittest discover are green.	Need a real artifact check, not a self-report.	python3 -m unittest discover -s tests	205 OK
2026-09-08T23:56:00Z	review	Lease TTL now comes only from polar_operator.yaml. Deleted the unused reason and the Python duplicate.	Comment Sicko caught two sources of 180.	knowledge/polar_operator.yaml scripts/polar_policy.py	48 Polar tests OK
2026-09-09T00:10:00Z	review	Second-look audit: writing_log gate was prose-only; run-cap wording could be read as 3+1=4; policy evidence was circular; transcript verified overstated.	Sonnet trail review	.audit/polar-learning-loop.tsv	acted
2026-09-09T00:12:00Z	harness	priority_submit_permitted is now code. Empty log, blank answer, and missing evidence block priority Submit.	Same failure mode as column-shift: Polar self-policing is not enough.	scripts/polar_policy.py tests/test_polar_policy.py	encoded
2026-09-09T00:13:00Z	design	max_jobs_per_run and max_regular_jobs_per_run must stay equal. Compiler prints one shared pool.	Divergent numbers would look like 4 jobs.	scripts/polar_policy.py resolve_apply_run_caps	encoded
