job_id,company,role,suggested_hard_eligibility,suggested_sponsorship_signal,suggested_role_cluster,suggested_pursuit_lane,suggested_priority,suggested_resume_version,confidence,evidence,reason,needs_review,timestamp,decision,notes
J20260720-001,Optiver,Graduate Software Engineer (2027 Start),eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,skip_manual,manual label present — auto will not overwrite; manual label present — auto will not overwrite
J20260720-002,Boston Scientific,R&D Software Engineer Intern,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-003,Software Development Engineer Intern 2026 | Boston Scientific,R&D Systems Engineer Intern,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-004,Caterpillar Inc.,2026 Summer Corporate Intern,eligible,unclear,other,practice,C,2026-07-20_data-ml_v1.1,0.40,no_hard_block_detected,Lower match — volume/practice lane if pursued,yes,2026-07-20,,
J20260720-005,"Publix Super Markets, Inc",Intern – Industrial Operations Software Engineer,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-006,BambooHR,Software Engineer  Intern,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-007,Fortinet,Software Development Intern,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-008,Hunter Industries Brand,Intern - Software Engineer,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-009,Westfield,"WSP IT Intern, Berkeley Heights Office (2026 Summer)",eligible,unclear,other,practice,C,2026-07-20_data-ml_v1.1,0.40,no_hard_block_detected,Lower match — volume/practice lane if pursued,yes,2026-07-20,,
J20260720-010,JMP Statistical Discovery,2026 JMP Summer Intern; Advanced Analytics Testing,eligible,unclear,other,practice,C,2026-07-20_data-ml_v1.1,0.40,no_hard_block_detected,Lower match — volume/practice lane if pursued,yes,2026-07-20,,
J20260720-011,Amazon,Data Center Infrastructure Engineer Intern,eligible,unclear,cloud_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-012,Waystar,Application Engineering Intern,eligible,unclear,other,practice,C,2026-07-20_data-ml_v1.1,0.40,no_hard_block_detected,Lower match — volume/practice lane if pursued,yes,2026-07-20,,
J20260720-013,Lila Sciences,"Intern, Security & Cloud Engineering",eligible,unclear,cloud_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-014,Sentinel Group - Career Page,Software Developer Summer (Python) Intern 2026,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-015,Virtru,Graduate Software Developer Intern,eligible,unclear,general_swe,broad,B,2026-07-20_cloud-swe_v1.1,0.55,no_hard_block_detected,Medium match — pursue with standard cluster resume,yes,2026-07-20,,
J20260720-016,Dark Wolf Solutions,UF College Fair – Internship,eligible,unclear,other,practice,C,2026-07-20_data-ml_v1.1,0.40,no_hard_block_detected,Lower match — volume/practice lane if pursued,yes,2026-07-20,,
