decision,company,role,url,source,track,work_model,location,posted_relative,fetched_at,suggested_lane,suggested_cluster,confidence,reason,evidence_basis,user_confirm,triage_method,triage_date,apply_url,apply_url_confidence,apply_ats,apply_matched_title,apply_resolve_evidence
keep,Altera,AI Software Development Engineer - Intern,https://jobright.ai/jobs/info/6a5e6994f3674a0545d28d24,jobright_matches,,,,,2026-07-20T15:39:30-04:00,core,data_ml,high,rules:intern_ok+fit_priority — AI SWE intern; strong AI/systems theme. work_model blank (not assumed remote).,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,Bild AI,AI/SWE Intern,https://jobright.ai/jobs/info/6a5e49e7050c423c792ee390,intern_list,internship_if_eligible,On Site,"San Francisco, CA, United States",3 hours ago,2026-07-20T15:40:08-04:00,core,data_ml,high,rules:intern_ok+fit_priority — AI/SWE intern onsite,board_fields,keep,ai_rules_v1,2026-07-23,https://jobs.ashbyhq.com/bild-ai/b333f0f7-0ca6-4509-8697-9303396b5364,exact,ashby,AI/SWE Intern,title overlap 1.00 on known ashby 'bild-ai'
keep,Cadence,Software Engineering Intern,https://jobright.ai/jobs/info/693b5c7ab309e37800871f1d,jobright_matches,,,,,2026-07-20T15:39:30-04:00,broad,cloud_swe,med,rules:intern_ok+fit_priority — SWE intern; solid SWE fit. work_model blank.,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,Etched,Inference Intern,https://jobright.ai/jobs/info/6a4b99ed971cd25b06f97bbd,intern_list,internship_if_eligible,On Site,"San Jose, CA, United States",5 hours ago,2026-07-20T15:40:08-04:00,core,data_ml,high,rules:intern_ok+fit_priority — inference / AI systems,board_fields,keep,ai_rules_v1,2026-07-23,https://jobs.ashbyhq.com/etched/6f23713f-5409-45b7-aae8-adb8710cdbc3,exact,ashby,Inference Intern,title overlap 1.00 on known ashby 'etched'
keep,Exowatt,Software Engineering Intern - Agent Platform (AI),https://jobright.ai/jobs/info/6a51b5f2ae4052672fe99710,jobright_matches,,,,,2026-07-20T15:39:30-04:00,core,data_ml,high,rules:intern_ok+fit_priority — Agent Platform SWE intern matches emerging AI agents interest.,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,Google,"Software Engineering Intern, BS, Summer 2027",https://jobright.ai/jobs/info/6a5e4d52050c423c792ee502,intern_list,internship_if_eligible,On Site,"Mountain View, CA, USA",3 hours ago,2026-07-20T15:40:08-04:00,core,cloud_swe,high,rules:intern_ok+fit_priority — Google SWE intern Summer 2027,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,Google,"Software Engineering Intern, MS, Summer 2027",https://jobright.ai/jobs/info/6a5e4d57f29acc1a1174697a,intern_list,internship_if_eligible,On Site,"Mountain View, CA, United States",3 hours ago,2026-07-20T15:40:08-04:00,core,cloud_swe,high,rules:intern_ok+fit_priority — Google SWE intern Summer 2027,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,Hadrian,All Levels: Backend Software Engineer,https://jobright.ai/jobs/info/6a34dc64649fdf16292f767d,newgrad_jobs,new_grad_2027_start,On Site,"Los Angeles, CA",4 hours ago,2026-07-20T15:40:08-04:00,broad,cloud_swe,med,rules:fit_priority — backend SWE; confirm level on JD later,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,HyperLight,Software Engineer Intern,https://jobright.ai/jobs/info/6a5e558127bf767ea68f61f4,intern_list,internship_if_eligible,On Site,"Multi Locations: Cambridge, MA, United States; Cambridge, Massachusetts, United States",2 hours ago,2026-07-20T15:40:08-04:00,broad,cloud_swe,med,rules:intern_ok+fit_priority — SWE intern Cambridge MA onsite,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,PlusAI,Software Engineer Intern - Data,https://jobright.ai/jobs/info/6a5ade8f63a8f619507c89d4,jobright_matches,,,,,2026-07-20T15:39:30-04:00,broad,data_ml,med,rules:intern_ok+fit_priority — PlusAI SWE intern (data); relevant ML-adjacent.,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,Rivian and Volkswagen Group Technologies,Data Engineering Intern - AI & Analytics (Fall 2026),https://jobright.ai/jobs/info/6a32cef229c90c607e4d829a,jobright_matches,,,,,2026-07-20T15:39:30-04:00,broad,data_ml,med,rules:intern_ok+fit_priority — Fall 2026 data eng intern; timing OK vs Dec 2026 student.,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,SPREEAI,Software Engineer Intern (AI Infrastructure / Training / Inference),https://jobright.ai/jobs/info/6a5744fff7517b519ad59ad4,jobright_matches,,,,,2026-07-20T15:39:30-04:00,core,cloud_swe,high,rules:intern_ok+fit_priority — AI infra / training / inference SWE intern.,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,SpaceX,"New Graduate Engineer, Software",https://jobright.ai/jobs/info/69cfed37366bb95ba5519b76,newgrad_jobs,new_grad_2027_start,On Site,"Hawthorne, CA",3 hours ago,2026-07-20T15:40:08-04:00,core,cloud_swe,high,rules:fit_priority — new-grad SWE flagship keep; confirm start≥2027-01-18 on apply,board_fields,keep,ai_rules_v1,2026-07-23,https://boards.greenhouse.io/spacex/jobs/8493079002?gh_jid=8493079002,exact,greenhouse,"New Graduate Engineer, Software",title overlap 1.00 on known greenhouse 'spacex'
keep,TDK SensEI,Data Engineering Intern,https://jobright.ai/jobs/info/6a5a8d8f686b4755d1e15ce0,jobright_matches,,,,,2026-07-20T15:39:30-04:00,broad,data_ml,med,rules:intern_ok+fit_priority — Data eng intern; acceptable under intern_ok.,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,TikTok,Software Engineer Intern (Recommendation Infrastructure) - 2026 Fall (BS/MS),https://jobright.ai/jobs/info/6a5dfad0050c423c792ecae1,intern_list,internship_if_eligible,On Site,"San Jose, CA, United States",9 hours ago,2026-07-20T15:40:08-04:00,broad,cloud_swe,med,rules:intern_ok — TikTok Fall 2026 SWE intern,board_fields,keep,ai_rules_v1,2026-07-23,,none,,,
keep,Traba,Software Engineer (AI Agents),https://jobright.ai/jobs/info/6a5e3a10050c423c792eddd0,newgrad_jobs,new_grad_2027_start,On Site,"New York City, NY, United States",3 hours ago,2026-07-20T15:40:08-04:00,core,data_ml,high,rules:fit_priority — SWE (AI Agents),board_fields,keep,ai_rules_v1,2026-07-23,https://jobs.ashbyhq.com/traba/e1761ab2-21f1-46d6-8c69-9b4a73d9430f,exact,ashby,Software Engineer (AI Agents),title overlap 1.00 on known ashby 'traba'
later,"Alturas Analytics, Inc.",Associate Database Systems Engineer,https://jobright.ai/jobs/info/6a5e54c1f29acc1a11746e49,newgrad_jobs,new_grad_2027_start,On Site,"Moscow, ID, United States",2 hours ago,2026-07-20T15:40:08-04:00,practice,data_ml,low,rules:fit_priority — assoc DB systems weak match → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
later,Bank of America,Quantitative Engineer - Consumer & Wholesale,https://jobright.ai/jobs/info/6a5e5056f29acc1a11746b59,newgrad_jobs,new_grad_2027_start,On Site,"Jersey City, NJ, United States",2 hours ago,2026-07-20T15:40:08-04:00,practice,cloud_swe,low,rules:fit_priority — quant eng adjacent → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
later,EV Realty,"Intern, Data Analytics",https://jobright.ai/jobs/info/6a5e47cb67b2850e77df01b4,intern_list,internship_if_eligible,Hybrid,"San Francisco, CA, United States",3 hours ago,2026-07-20T15:40:08-04:00,practice,data_ml,low,rules:fit_priority — light analytics intern → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
later,Exowatt,Software Engineering Intern - Inventory Automation & IoT/Robotics,https://jobright.ai/jobs/info/6a51b3e178e364789ca5b369,intern_list,internship_if_eligible,On Site,"Austin, TX, United States",5 hours ago,2026-07-20T15:40:08-04:00,broad,cloud_swe,med,rules:fit_priority — Inventory/IoT SWE intern weaker than Agent Platform twin → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
later,Golub Capital,Analyst (Cybersecurity),https://jobright.ai/jobs/info/6a5e4a53050c423c792ee3b6,newgrad_jobs,new_grad_2027_start,On Site,"Chicago, United States",3 hours ago,2026-07-20T15:40:08-04:00,practice,cloud_swe,low,rules:fit_priority — cyber analyst adjacent → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
later,PlusAI,Reinforcement Learning Planning Research Intern,https://jobright.ai/jobs/info/6a5e474e27bf767ea68f5a31,intern_list,internship_if_eligible,On Site,"Santa Clara, CA, United States",3 hours ago,2026-07-20T15:40:08-04:00,broad,data_ml,med,rules:fit_priority — research-heavy RL intern → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
later,Preferred Travel Group,QA Automation Engineer,https://jobright.ai/jobs/info/690d462c4a1b456627b20055,newgrad_jobs,new_grad_2027_start,Hybrid,"California, Newport Beach, CA, US",3 hours ago,2026-07-20T15:40:08-04:00,practice,cloud_swe,low,rules:fit_priority — QA automation → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
later,University of Utah Financial Services,Web Developers (Front-End),https://jobright.ai/jobs/info/6a5e50ee050c423c792ee744,newgrad_jobs,new_grad_2027_start,Hybrid,"Salt Lake City, UT, United States",2 hours ago,2026-07-20T15:40:08-04:00,practice,cloud_swe,low,rules:fit_priority — front-end / weak strategic fit → later,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Amazon Web Services (AWS),"Data Center Technician , DCC Communities",https://jobright.ai/jobs/info/697b2c4317b11b1c2e4240ae,newgrad_jobs,new_grad_2027_start,On Site,"Sparks, NV, United States",4 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:non_target_role — data-center technician track,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Amazon Web Services (AWS),"Data Center Technician , DCC Communities",https://jobright.ai/jobs/info/69cf32ed398fb071abf8d5e9,newgrad_jobs,new_grad_2027_start,On Site,"Sparks, NV, United States",4 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:non_target_role — data-center technician track,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Amazon Web Services (AWS),"Data Center Technician, DCC Communities",https://jobright.ai/jobs/info/697b32f31423772304eb5c61,newgrad_jobs,new_grad_2027_start,On Site,"Sparks, NV, United States",3 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:non_target_role — data-center technician track,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Amazon Web Services (AWS),"Infra Decommission Technician, DCC Communities",https://jobright.ai/jobs/info/697ae412c532c4768fe09d9e,newgrad_jobs,new_grad_2027_start,On Site,"Herndon, VA, United States",4 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:non_target_role — data-center technician track,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,BTI360,Full Stack Engineer - Polygraph Required,https://jobright.ai/jobs/info/6a5e3fb8f3674a0545d27ce1,newgrad_jobs,new_grad_2027_start,On Site,"Herndon, VA, United States",4 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:hard_gate — polygraph required in title,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Beyondsoft,Software Engineer Intern,https://jobright.ai/jobs/info/6a5e0a25f29acc1a117454b9,intern_list,internship_if_eligible,Remote,United States,7 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:remote — fully remote,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,ByteDance,Software Engineer Intern (Developer Infrastructure) - 2026 Summer (BS/MS),https://jobright.ai/jobs/info/6a5e33cbf29acc1a1174607c,intern_list,internship_if_eligible,On Site,"San Jose, California, United States",4 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:timing_expired — title is 2026 Summer; triage date 2026-07-23,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Chicago Trading Company,Software Engineering Internship - Summer 2027,https://jobright.ai/jobs/info/6a5e48aa27bf767ea68f5afa,intern_list,internship_if_eligible,On Site,"Chicago, Illinois, United States",3 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:hard_gate — exclusive grad window Dec 2027–Jun 2028 (candidate Dec 2026),board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Citadel,Machine Learning Researcher – PhD Intern (US),https://jobright.ai/jobs/info/6a5e2cb2f3674a0545d27570,intern_list,internship_if_eligible,On Site,"New York, United States",5 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:hard_gate — PhD intern targeted,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,GE HealthCare,Edison Engineering Development Program Intern – Software,https://jobright.ai/jobs/info/6a5e2e7a050c423c792ed917,intern_list,internship_if_eligible,On Site,"Waukesha, WI, United States",5 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:hard_gate — must continue studies after internship term,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Marketeq Talent,Quality Assurance - Internship,https://jobright.ai/jobs/info/6a5e5400050c423c792ee8f1,intern_list,internship_if_eligible,Remote,United States,2 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:remote+non_target_role — remote QA intern,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Metallus Inc.,Applications Programmer Intern,https://jobright.ai/jobs/info/6a5e5064f29acc1a11746b63,intern_list,internship_if_eligible,On Site,"Canton, OH, United States",2 hours ago,2026-07-20T15:40:08-04:00,,,med,rules:traditional_student_coop — credit-hour / full-time student co-op framing + weak strategic fit,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Microsoft,Data Center Technician (Night Shift),https://jobright.ai/jobs/info/6a5e4807050c423c792ee288,newgrad_jobs,new_grad_2027_start,On Site,"United States, Illinois, Chicago",3 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:non_target_role — data-center technician track,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,National Laboratory of the Rockies,Graduate Intern - LLM Reliability and Uncertainty for AI Science Assistants,https://jobright.ai/jobs/info/6a5e550067b2850e77df08e3,intern_list,internship_if_eligible,Remote,"Golden, CO, United States of America",2 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:remote — fully remote,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Tampa Electric,IT Cyber Security Student Internship,https://jobright.ai/jobs/info/6a5b06a4856af468ab00b57c,intern_list,internship_if_eligible,On Site,"Lutz, FL, United States",2 hours ago,2026-07-20T15:40:08-04:00,,,med,rules:traditional_student_coop+non_target_role — utility cyber student internship,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Tampa Electric,IT Cyber Security Student Internship Job Details | New Mexico Gas Co - Peoples Gas - Tampa Electric,https://jobright.ai/jobs/info/6a4fd24a1544d7246c0d6a3b,intern_list,internship_if_eligible,On Site,"Lutz, FL, United States",2 hours ago,2026-07-20T15:40:08-04:00,,,med,rules:traditional_student_coop+non_target_role — utility cyber student internship,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,TikTok,Software Engineer Intern (Recommendation Infrastructure) - 2026 Summer (BS/MS),https://jobright.ai/jobs/info/6a5e4db9270e3033b045cf3a,intern_list,internship_if_eligible,On Site,"Seattle, WA, United States",3 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:timing_expired — TikTok Summer 2026,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Ursa Space Systems,Jr. AI Engineer,https://jobright.ai/jobs/info/6a5e4818f29acc1a11746719,newgrad_jobs,new_grad_2027_start,Remote,United States,3 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:remote — fully remote,board_fields,,ai_rules_v1,2026-07-23,,,,,
skip,Warfighter AI,Wartime Engineering Intern,https://jobright.ai/jobs/info/6a5e4aa8270e3033b045ce1e,intern_list,internship_if_eligible,Remote,United States,3 hours ago,2026-07-20T15:40:08-04:00,,,high,rules:remote — fully remote,board_fields,,ai_rules_v1,2026-07-23,,,,,
