ts	phase	decision	why	evidence	result
2026-09-10T18:10:00Z	frame	Done when independent Polar workflows are not blocked by polar_browser and the same job or requisition cannot be double-claimed.	Issue 115 and the 2026-09-10 discover hang showed one crash holding every browser workflow for 180 minutes. Concurrent surface probes showed Polar already multiplexes surfaces.	https://github.com/JunyiZhou-Conny/job-search-2026-2027-starter/issues/115	framed
2026-09-10T18:12:00Z	frame	Skip arena and a second lock table. Own work on the queue row with claim_run_id.	The queue already has IN_PROGRESS, recovery, and requisition identity. A global or per-workflow browser mutex is the wrong resource.	scripts/polar_policy.py select_apply_batch	open
2026-09-10T18:13:00Z	frame	Keep polar_browser rows, SKIPPED_LOCKED history, control-tab upserts, Copilot preflight, trust bootstrap, and PREFERENCES.	Those are evidence or separate invariants. Do not delete shared infrastructure because the mutex is obsolete.	knowledge/polar_operator.yaml lease.key	kept
2026-09-10T18:20:00Z	implement	Own work on queue.claim_run_id. decide_lease always returns NOT_REQUIRED.	A global browser mutex was the wrong resource. The queue already had IN_PROGRESS and requisition identity.	scripts/polar_policy.py attempt_claim_job	VERIFIED
2026-09-10T18:22:00Z	verify	Focused Polar tests 164 OK. Full suite 347 OK.	Old foreign polar_browser lock no longer aborts. Same job last-write has one owner.	/opt/cursor/artifacts/polar-concurrency-full-suite.log	superseded
2026-09-10T18:35:00Z	harden	Append claim_run_id if the live header lacks it. Discover must not clobber live execution rows. Reread claim before Submit.	A missing column would make every claim look lost. Discover could blank a live claim. Readback-then-overwrite is not a compare-and-swap.	tests/test_polar_concurrency.py test_missing_claim_header_is_appended_not_inserted	VERIFIED
2026-09-10T18:45:00Z	cleanup	Delete decide_lease, release_lease, needs_browser_lock, and the unused TTL fallbacks. Keep lease_checkpoint_notes for old Sheet notes.	Those functions were stubs or unread. Polar reads needs_browser_lock: false in compiled files.	scripts/polar_policy.py work_claim_ttl_minutes	VERIFIED
2026-09-10T18:51:47Z	implement	Per-run worker budget of 3. Deleted the shared 10-regular-per-day Submit gate. Canonical requisition winner. Migration-only claim_run_id schema writes.	Workers must not compete for one daily token pool. Two live siblings must not both back off. Apply and discover must not race to append a column.	scripts/polar_policy.py select_next_apply_job requisition_submit_blocked plan_claim_header_migration	focused 169 OK
2026-09-10T18:53:11Z	verify	HEAD 6e5a4c0 focused Polar contract suite 169 OK. Full unittest discovery 352 OK.	Counts taken from the final saved logs after the worker-pool change. Earlier PR numbers are superseded.	/opt/cursor/artifacts/polar-concurrency-focused-tests.log /opt/cursor/artifacts/polar-concurrency-full-suite.log	VERIFIED
2026-09-10T19:00:11Z	cleanup	Deleted max_regular_jobs_per_run, lease TTL keys, lease_checkpoint helpers, and unused timezone. Flattened TRUSTED_WORKFLOW_NAMES.	Comment Sicko found dead copies left after the worker-pool change. Polar still reads polar_browser as historical control state.	knowledge/polar_operator.yaml scripts/polar_policy.py resolve_apply_run_caps	focused 168 OK
